concept_id,concept_name,industry,problem_area,n_demo_sessions,n_sandbox_trials,n_commercial_signals,demand_intensity,repeatability,engagement_depth,segment_similarity,segment_diversity,revenue_potential,feasibility,strategic_fit_score,avg_objections,avg_objection_themes,confidence_score,cluster,cluster_label,readiness_score,recommended_outcome,top_positive_factor,top_positive_value,weakest_factor,weakest_value,ai_insight,insight_source
C001,SignalAI,Energy,Anomaly Detection,8,8,5,0.3145,0.6508,0.5152,0.375,1.0,0.3531,0.467,0.55,2.38,0.75,100.0,0,Promising Pattern,41.7,Archive,repeatability,0.651,engagement depth,0.515,"Current customer demand, engagement, and commercial indicators are insufficient to justify further investment. Readiness score: 41.7/100 (confidence: 100.0%). Even the strongest available signal, repeatability, is not enough to outweigh weaknesses such as engagement depth. The concept should be archived unless new evidence becomes available.",offline
C002,PulseAI,Healthcare,Quality Control,4,3,4,0.4588,0.48,0.485,0.5,0.75,0.4068,0.6279,0.55,1.25,0.5,78.7,0,Promising Pattern,48.7,Incubate,demand intensity,0.459,engagement depth,0.485,"The concept shows potential but currently lacks sufficient supporting evidence. Readiness score is 48.7/100 with confidence at only 78.7% — demand intensity is the strongest available signal, but engagement depth needs more support. Additional customer validation, prototype improvements, or commercial analysis is recommended before making an investment decision.",offline
C003,VistaAI,Healthcare,Quality Control,6,3,5,0.6986,0.5022,0.5163,0.3333,1.0,0.4404,0.5649,0.55,1.0,0.67,87.1,1,Strong Behavioral Pattern,55.6,Customer Pilot,demand intensity,0.699,engagement depth,0.516,"This concept shows promising customer interest but requires additional market validation before full-scale development. With a readiness score of 55.6/100 (confidence: 87.1%), the strongest signal is demand intensity, while engagement depth remains a gap. Running a customer pilot will help validate assumptions and reduce commercialization risk.",offline
C004,NexusML,Insurance,Document Intelligence,6,4,5,0.4709,0.3242,0.3081,0.3333,1.0,0.3759,0.6118,0.2,1.67,1.5,100.0,0,Promising Pattern,36.7,Archive,demand intensity,0.471,strategic fit score,0.2,"Current customer demand, engagement, and commercial indicators are insufficient to justify further investment. Readiness score: 36.7/100 (confidence: 100.0%). Even the strongest available signal, demand intensity, is not enough to outweigh weaknesses such as strategic fit score. The concept should be archived unless new evidence becomes available.",offline
C005,OrbitAI,Healthcare,Forecasting,6,4,5,0.813,0.3833,0.4711,0.6667,0.75,0.5347,0.6996,0.9,1.83,0.83,100.0,1,Strong Behavioral Pattern,62.6,Customer Pilot,demand intensity,0.813,engagement depth,0.471,"This concept shows promising customer interest but requires additional market validation before full-scale development. With a readiness score of 62.6/100 (confidence: 100.0%), the strongest signal is demand intensity, while engagement depth remains a gap. Running a customer pilot will help validate assumptions and reduce commercialization risk.",offline
C006,BeaconAI,Retail,Scheduling Optimization,2,2,2,0.7851,0.285,0.5667,1.0,0.25,0.6859,0.2865,0.9,0.0,1.0,39.0,1,Strong Behavioral Pattern,61.0,Incubate,demand intensity,0.785,feasibility,0.286,"The concept shows potential but currently lacks sufficient supporting evidence. Readiness score is 61.0/100 with confidence at only 39.0% — demand intensity is the strongest available signal, but feasibility needs more support. Additional customer validation, prototype improvements, or commercial analysis is recommended before making an investment decision.",offline
C007,ForgeAI,Logistics,Quality Control,2,2,2,0.4385,0.625,0.6632,1.0,0.25,0.3645,0.526,0.2,1.5,2.0,39.3,0,Promising Pattern,44.1,Incubate,demand intensity,0.438,strategic fit score,0.2,"The concept shows potential but currently lacks sufficient supporting evidence. Readiness score is 44.1/100 with confidence at only 39.3% — demand intensity is the strongest available signal, but strategic fit score needs more support. Additional customer validation, prototype improvements, or commercial analysis is recommended before making an investment decision.",offline
C008,LumenML,Financial Services,Scheduling Optimization,2,2,2,0.3779,0.475,0.4763,0.5,0.5,0.473,0.6938,0.2,1.5,0.0,45.8,0,Promising Pattern,42.3,Archive,feasibility,0.694,strategic fit score,0.2,"Current customer demand, engagement, and commercial indicators are insufficient to justify further investment. Readiness score: 42.3/100 (confidence: 45.8%). Even the strongest available signal, feasibility, is not enough to outweigh weaknesses such as strategic fit score. The concept should be archived unless new evidence becomes available.",offline
C009,AtlasML,Logistics,Personalization,2,2,2,0.6402,0.2183,0.3955,0.5,0.5,0.5988,0.6165,0.55,2.0,1.0,42.0,1,Strong Behavioral Pattern,48.8,Incubate,demand intensity,0.64,repeatability,0.218,"The concept shows potential but currently lacks sufficient supporting evidence. Readiness score is 48.8/100 with confidence at only 42.0% — demand intensity is the strongest available signal, but repeatability needs more support. Additional customer validation, prototype improvements, or commercial analysis is recommended before making an investment decision.",offline
C010,CompassAI,Financial Services,Customer Insights,4,2,4,0.852,0.3467,0.7413,0.25,1.0,0.5403,0.602,0.55,0.25,1.5,59.3,1,Strong Behavioral Pattern,61.8,Customer Pilot,demand intensity,0.852,repeatability,0.347,"This concept shows promising customer interest but requires additional market validation before full-scale development. With a readiness score of 61.8/100 (confidence: 59.3%), the strongest signal is demand intensity, while repeatability remains a gap. Running a customer pilot will help validate assumptions and reduce commercialization risk.",offline
